eTFC1	eTFC2	eTFC3	eTFC4	eTFC5	eTHC1	eTHC2	eTHC3	eTHC4	eTHC5	lTFC1	lTFC2	lTFC3	lTFC4	lTFC5	lTHC1	lTHC2	lTHC3	lTHC4	lTHC5
ZBTB17	0.0744933682160482	-0.408905646302993	0.393354949476853	-0.191556777665649	0.132614106275742	-0.0991736020594676	0.211635233687453	-0.355793974936811	-0.10549105804627	0.348823401355094	-0.0800746786304218	-0.232771117801252	-0.0592208360814581	0.272803647644845	0.099262984868286	-0.374856565409324	-0.0141219387826865	0.197603825770592	0.123184980958934	0.0681896974624854
YWHAZ	-1.55118088893476	-0.565116651541786	1.03998573108778	0.968606245747239	0.107705563641524	-1.54599406320888	-0.679043012356146	1.90751350205304	1.65252748305333	-1.33500390954136	0.178692196802949	-0.436938150601279	1.08588231312844	0.500497712025577	-1.32813407135569	0.776853937727374	0.824600981935511	0.0285284702235913	-0.908381890780383	-0.721601499106079
YWHAQ	-0.196900685530395	0.444385430548913	-0.875960848159888	0.209630678354692	0.418845424786678	-0.49801728657112	-0.440395725597636	0.109107903129246	0.662366524471157	0.166938584568349	0.135731864934993	-0.793611546365433	0.107185886709267	0.0457145568606094	0.504979237860564	-0.154527527171439	-0.724756550722809	-0.411371552207232	0.479595640863032	0.811059989238448
YWHAH	-0.530356253830755	0.220767034583712	-0.0655923080373615	0.659197103051174	-0.284015575766771	-0.419061669452612	0.125898416881277	-0.355175849024485	0.369868161097401	0.278470940498419	-0.951715475783409	0.414420182323454	0.187056584871158	-0.465791734304165	0.816030442892963	-0.752578222296762	-0.143014130178194	-1.00172761466358	-0.00999935888623327	1.90731932602478
YWHAE	-0.296289357644607	0.97457052058299	-0.509488913913248	-0.0578054268493347	-0.1109868221758	-0.338103694870842	0.00843000829754104	0.604716927639377	0.486466733342819	-0.761509974408902	0.44473625746302	-0.180772895515624	0.336408935321305	0.0569358509835496	-0.657308148252245	1.02662698047316	-0.177615970030637	-0.142620821534219	-0.438447218620389	-0.267942970287919
YBX1	-2.33343612207787	3.09233370279887	-0.147756876578782	-0.0440756634843353	-0.567065040657866	-0.885772624575921	-0.0558287582735488	-0.51659220793259	0.860711126595447	0.597482464186612	-0.840516448339343	-0.678211329631665	0.998384983779104	0.206435647779287	0.313907146412632	-0.445435455525654	-0.589731893422893	-0.23397982047571	0.691278189851346	0.577868979572884
YARS	-0.396945433483893	0.232057068924036	0.178762706600249	-0.0695491199801381	0.0556747779397391	-0.244856002798656	1.23150930817735	-0.152597260083731	-0.886556878621118	0.0525008333261567	-0.581909365419669	0.0835394831094334	0.196945279154381	0.404034545515465	-0.102609942359614	-0.84764284671985	0.175544365134723	0.282747728185107	0.0325742136823912	0.356776539717622
YAF2	-0.480874482890659	0.423586802798809	0.085877672479036	0.399436513771281	-0.428026506158467	-0.154932046428693	0.0911715664091801	0.395557622368699	0.733173402774057	-1.06497054512324	0.0892572691064668	-0.428296604610207	0.524145890806052	-0.623451130998207	0.438344575695899	0.569866142931472	-0.139249879744803	-0.305802723961254	0.491983007132037	-0.616796546357453
XYLT1	0.271760511555383	-0.666823701909454	0.749961698247643	-0.198514591712763	-0.156383916180808	0.282481444577791	-0.0615787684629661	0.280931973086698	0.0467215056948591	-0.548556154896382	0.259418968362818	0.0369447890253296	0.196492117872949	-0.100873046840296	-0.391982828420799	0.436249700369097	0.857444341774367	0.04695243831193	-0.385260657400418	-0.955385823054979
XPO1	-0.432036439093283	-0.38758421416083	0.17211722148247	0.610341216502334	0.0371622152693121	-0.464384371105719	-0.489401125118233	0.0962006217568927	0.594545087555975	0.263039786911083	-0.46397775006152	-0.0417499479542105	-0.0422435521143925	0.221963533500885	0.326007716629235	-0.15941393648559	-0.059114487745406	0.0544438588795373	0.0859585945773489	0.07812597077411
XPNPEP2	0.144816868086578	-0.188717067357134	0.299339054580378	0.152030916877165	-0.407469772186986	-0.317684150859091	0.13453208461668	0.100303793747915	-0.0975345478539559	0.180382820348452	0.282665741929169	0.0253618274302694	0.311339621142825	0.236722015307545	-0.856089205809808	-0.760754864371135	0.17626089643548	0.509439491623253	-0.376010933944676	0.451065410257078
XPA	0.134364918850128	0.548339094427408	-0.182944616869396	-0.212148899927428	-0.287610496480713	-0.293735578107757	0.231589678841658	-0.379519089444241	1.04363988843533	-0.601974899724979	-0.723911069284991	-0.570099485302002	0.707488848026518	0.420403142682243	0.166118563878225	0.071533077417179	0.599020589266541	-0.00285327892363085	0.164538853467196	-0.832239241227285
WWP1	0.382057614199394	-0.292642111080077	0.157073437596601	-0.0283756249588381	-0.218113315757078	0.0905590012366728	-0.166133315818482	0.162735124113451	0.11461590050986	-0.201776710041501	-0.00371196154114983	-0.027797486677553	-0.306128842325998	0.450268641817822	-0.112630351273122	0.236178061046445	0.0433275050372464	0.0160157196729509	-0.394704933077069	0.0991836473204284
WTIP	-0.285568374852748	0.397275050554974	0.0565868467708217	0.13399456000583	-0.302288082478876	-0.00676159087675732	0.221663436597657	0.0338719869108726	-0.46673222668896	0.217958394057185	-0.272234502896904	-0.399100700406946	-0.0164337253512494	0.57053187635906	0.117237052296037	0.0743895131619583	0.42764170580458	-0.435330797475955	0.544496307264122	-0.611196728754706
WSB1	0.132486314358093	-1.22251954550859	0.187448728506574	0.237425408649024	0.665159093994902	-0.71707803050516	-1.3595747443653	0.770448361201343	0.374910173848015	0.931294239821099	-2.31842333525244	0.331365494087883	0.0404825155717106	1.14407024013864	0.802505085454193	-1.85029657842247	0.039177829749967	1.22039908684168	-0.00537622147085415	0.596095883301686
WRNIP1	-0.142282451886228	-0.231640659752259	-0.00148922160389642	0.0982168180577014	0.277195515184682	-0.0165377121025072	0.185234459104128	-0.287992463665171	-0.0956385469779129	0.214934263641464	-0.159541901118623	0.477657887571668	0.241448022704984	-0.210218443478653	-0.349345565679374	-0.0636297228743725	0.255490463727979	0.196617137903758	-0.37923581169906	-0.00924206705830244
WRB	0.70565715097872	-1.02397778160778	-0.384859708645235	-0.180542582497903	0.883722921772195	1.53967249929174	-0.100828572059916	0.125085859376478	-0.583899245539667	-0.980030541068636	0.0703530139959163	-0.0729905215146029	0.528275047454551	-0.283165047790558	-0.242472492145303	1.54014780453547	-0.204221286494699	-0.531349053603048	-0.32214188110431	-0.482435583333412
WNT9B	0.328211650546042	-0.935729311810486	-0.34082245758886	-0.0876046275021527	1.03594474635546	-0.558298066490022	0.173158651157037	0.422484746155241	-0.194446416506556	0.1571010856843	-1.03884676764768	-0.782948871221878	-0.590771310873283	0.481789460917001	1.93077748882584	-1.10675715552835	-0.998201892517475	-0.608885565553354	0.554982681567045	2.15886193203213
WNT9A	2.50338755671597	-0.576521223264961	0.184179871182865	-0.299572603631409	-1.81147360100246	2.51692362693088	-0.553792905874812	0.187083604237866	-0.711220839101987	-1.43899348619195	0.00473966496134892	0.371400272411568	0.580808524984604	0.446869074329047	-1.40381753668657	1.22745805489539	0.313669449126792	0.471045266839766	-0.564045952235471	-1.44812681862648
WNT8A	-0.0304095125239935	-0.317202779004313	0.156982196205793	0.239842782368445	-0.0492126870459306	-0.405669234155326	-0.105753975572232	0.0969664918870169	0.0528610307972431	0.361595687043298	0.0173744595317634	0.018544962291323	0.161845309981073	-0.223770218212458	0.026005486408298	0.150907162576224	-0.168866220894575	0.212630543665076	0.291158394348035	-0.485829879694759
