eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
XPO1	0.482781246953516	-0.0846603866920645	-0.398120860261452	-0.583175391285923	-0.66358503636617	1.0284149390155	0.495164583544771	-0.276819094908184	-0.368366931957953	0.4782824782452	-0.109915546287249	-1.23031960460069	-0.87291231011698	0.474220847010219	0.6224102468392	1.00660082086825
XPNPEP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XPA	0.145798732841127	0.675393015778335	-0.821191748619464	-0.69239238505779	-0.16575376937838	0.679785593732777	1.16571278223187	-0.987352221528479	0.115131552763341	-0.878920270057328	0.763788717293988	-1.08048766390036	0.732822895071916	-1.21245212719445	1.19491553157057	0.365201364452325
WWP1	-0.256121756291389	0.182105318643872	0.0740164376475176	-0.235436372462779	-0.172332434205506	0.576432203588239	0.118371461355281	-0.287034858275233	-0.164417998371187	-0.156437993529344	0.32085599190053	-0.257501642592699	0.375951642797981	0.01914567189338	0.158776530416652	-0.296372202515313
WTIP	-0.166871597724863	-0.126336312131853	0.293207909856717	-0.42795841133261	0.0843636787598783	0.969611380008473	0.300590186426145	-0.926606833861885	-0.422198866980272	0.190546352670374	0.231652514309899	-1.02969542620159	0.38919028659101	0.275573152735819	-0.04691894279956	0.411850929674322
WSB1	-0.125857697740045	0.978749276769026	-0.852891579028981	0.3942261847899	0.369263236344747	-0.769543606585536	0.149889338106931	-0.143835152656035	-0.371090977638275	0.366830982693912	0.00425999494436624	-0.959154439054764	1.22577667356509	-1.42427934712712	0.648498324639572	0.509158787977224
WRNIP1	0.00798264975691154	0.453848539849901	-0.461831189606809	-0.557478685899087	0.068015109559596	-0.982924129615869	1.21849128767347	0.25389641828189	0.259165802424395	-0.400179071336145	0.141013268911749	0.536708105607966	0.222556398025542	-1.01536452128221	0.581862901836828	-0.325762884188133
WRB	-0.404480108682382	0.280156665644597	0.124323443037786	0.107167087879585	0.39490321748252	0.823601480611494	-0.158251720710139	-1.16742006526346	-0.0198950808805929	0.0945623970556966	-0.0746673161751019	-0.566693749642901	0.191870018811851	0.0845101293955519	-0.0491734352335005	0.339487036668997
WNT9B	0.486585857219849	-0.637623306592651	0.151037449372802	-0.0758210854036745	0.0571805844863296	-0.141407540595667	-0.518750526298752	0.678798567811763	-0.485132047487366	-0.203530650776298	0.688662698263664	0.401051475322477	-0.348275696450211	-0.25297444341609	-0.323929019974092	0.524127684517916
WNT9A	0.0209115921608817	-0.243804310922884	0.222892718762003	0.0156601128686507	-0.389710372157452	0.604077521071722	0.0264401103517851	-0.256467372134705	-0.50537292295722	0.546413108960792	-0.0410401860035727	-0.188362615609279	-0.2895585658364	-0.0408515027863161	-0.396864505789922	0.915637190021917
WNT8A	0.368526292203883	-0.868547386818694	0.500021094614813	0.772024770867029	-0.124585078393016	-0.90154562757591	-0.885830516331255	1.13993645143315	0.52944841291983	-0.970773052631241	0.441324639711411	4.1924457752436	-1.47399957256198	-1.46065554565322	-3.82202426594916	2.56423360892076
WNT7B	0.476899271007379	-0.622353145999695	0.145453874992316	0.150993457230851	-0.0602375394905539	-0.336760184172227	-0.284257823763924	0.530262090195853	0.42684162056506	-0.420773133525314	-0.00606848703974583	2.21408279070012	-0.839802971075398	-0.842416376075538	-1.82113027022703	1.28926682667784
WNT7A	1.14335982682887	-1.31315956654053	0.169799739711663	-0.421884809442383	-0.757300081731252	0.817352580704062	0.361076964963909	0.000755345505665472	0.116452242496608	-0.804446654104662	0.687994411608056	4.02635929134374	-2.15461068831907	-1.31327225325779	-3.27676385700862	2.71828750724173
WNT5B	-1.29519325651594	0.0371048674849419	1.258088389031	2.82832786743472	2.16622476407974	-1.55077851894207	-0.299429749550889	-3.1443443630215	-0.617344055955233	1.47070446357762	-0.853360407622386	-5.12781075735673	2.6550468603932	1.56890057512026	5.39989694127944	-4.49603361943617
WNT5A	0.77156274716528	-1.34833444024516	0.576771693079881	-1.82090367196884	-0.721154844024566	5.46690774916557	1.95119512409551	-4.87604435726767	0.253108765729246	1.09220837129092	-1.34531713702017	1.45794915083242	1.78273668471191	2.23177815317361	-3.03504420072631	-2.43741978799163
WNT4	-0.309669409591794	0.401473901682961	-0.0918044920911667	-0.0856162598905508	-0.767523418597062	-0.553704499576688	0.474596469180388	0.932247708883914	1.09749769333838	-0.700167919283944	-0.397329774054433	5.59982725628919	-1.7362515926156	-1.79793610280634	-4.12102542113729	2.05538586027003
WNT3	-0.00595097978411285	-0.255027674818534	0.260978654602647	0.733619442862179	-0.945128940825104	-0.712053101033306	0.0393475393565081	0.884215059639722	0.765503487972895	-0.606258389124686	-0.159245098848208	3.32554087808006	-0.992911956420679	-0.560723547636966	-3.67612449310129	1.90421911907888
WNT2B	-0.75140393508704	-0.915767323225447	1.66717125831249	0.242213159323305	-1.09534244179628	0.66450969669363	0.282179964042638	-0.0935603782632897	-1.24805469501829	-0.581145321181874	1.82920001620016	4.60529884750205	-4.18622865198956	-2.04563348203908	-0.82943424655667	2.45599753308325
WNT2	-0.802116463659534	0.0619941189628525	0.740122344696682	0.49129672102217	-0.620025952738268	-0.673121457729276	0.206733681272808	0.595117008172566	0.850413480346799	-0.425206740173399	-0.425206740173399	1.05223896500406	-0.644406781818589	0.080509297704336	-0.617192487279835	0.128851006390029
WNT16	-0.836694140611501	0.149574216678431	0.687119923933069	-2.45928452103834	-1.27244803461648	1.50524360146744	1.76653418112283	0.459954773064554	-1.09424079224488	0.236443290876264	0.857797501368621	0.330120826324073	1.10450974614194	0.555664046492845	-1.96922526820083	-0.0210693507580313
WNT11	-0.699235388220753	0.982272561597053	-0.283037173376302	0.944988279559324	1.43778187654648	1.3218352009803	-1.75799249258105	-1.94661286450506	-0.964935190595815	-0.196500932112608	1.16143612270842	-0.670668420084672	-0.851050876353396	0.007890016165506	0.876078359778422	0.637750920494144
WLS	-0.0231772468332601	-0.589267105321863	0.612444352155123	-0.312367877574623	0.0246890817999361	1.11982674636464	-1.07656712654405	0.244419175954102	-2.11463902205355	0.816144181232087	1.29849484082147	-0.247165852723732	-0.347647423371608	-0.166660794473566	-0.0885469914491672	0.850021062018074
WISP1	0.202313190022166	-0.0839554205935344	-0.118357769428632	0.0336616262721412	0.114590056186628	-0.238677342425385	-0.473672085576624	0.56409774554324	-0.0340278848660116	-0.118983735342823	0.153011620208835	-1.11672678414262	-0.094260173007644	0.562897074006321	-0.0877141951860967	0.735804078330042
WIF1	3.11168375692996	-4.79923352153664	1.68754976460668	14.5881833351191	3.73027417402978	-6.47201354521645	-2.85899143806615	-8.98745252586632	1.7754650163032	0.00043724686070945	-1.77590226316392	-10.5752498020655	4.42235117233006	2.1567990027204	14.1766537836308	-10.1805541566158
WHRN	-0.123974119884159	-0.118888735831774	0.242862855715933	0.0215422326993155	-0.266899690287173	-0.349520556869925	-0.15043682755682	0.745314842014602	-0.218211759515892	0.0960309444178864	0.122180815098006	0.156250839878407	0.341183741955684	-0.241274295613722	-0.343901402819349	0.0877411165989788
