eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
UHRF1	-1.76752442972685	1.29997461090413	0.467549818822718	0.376047817259728	1.28969864269195	-1.66574645995168	-0.15899892640593	0.227086434136851	-0.0680875077309206	-0.193225343498939	-0.0499278098690521	0.243153153367992
UGP2	0.223451436987539	-0.183587057398653	-0.0398643795888871	-0.152007422265002	0.159471977799966	-0.0074645555349635	0.271243732259085	-0.187401050089047	-0.0838426821700375	-0.136566979440116	0.239417550115745	-0.10285057067563
UGDH	-0.157622233498699	0.304239651730428	-0.146617418231727	0.0529999613202055	0.0901613536822072	-0.143161315002414	0.417893451263113	-0.122390986600868	-0.295502464662245	-0.270811295228709	0.314601224096999	-0.0437899288682893
UCK2	-0.544358719243742	0.577722094414634	-0.0333633751708913	0.622590417981481	0.329686990292467	-0.952277408273948	-0.161454353990099	0.274838941804563	-0.113384587814463	0.464577659759135	0.119315625538262	-0.583893285297397
UCHL3	0.0668454192787165	-0.307213647269635	0.240368227990919	-0.00147911085939256	-0.126407016598602	0.127886127457995	-0.219569275138218	0.174845505720397	0.0447237694178222	0.0544554647386857	0.177448429948713	-0.231903894687399
UCHL1	3.49395767173191	-1.97269998281498	-1.52125768891692	0.979792449339659	0.878025244592433	-1.85781769393209	1.45283571234791	0.728290629157176	-2.18112634150509	1.64542461733657	0.456927161189171	-2.10235177852574
UBR1	-0.0958933083156666	-0.0954159269226453	0.191309235238312	-0.345289980032761	0.195498185625338	0.149791794407423	0.0682060268354494	-0.239233489822922	0.171027462987474	-0.588730909375181	0.302517832123323	0.286213077251857
UBN1	0.0221973247473759	-0.0380633250304463	0.0158660002830713	-0.0173735907464225	0.216131961573174	-0.198758370826751	-0.079201660938061	0.0268676320524381	0.0523340288856238	-0.216263875749701	0.0719171596632711	0.14434671608643
UBE4B	-0.398519336433182	0.53399179173284	-0.135472455299659	-0.310395712290351	0.616012096856114	-0.305616384565763	-0.262019741150857	0.0131456897329087	0.248874051417946	-0.142625027589746	-0.0671337798408782	0.209758807430624
UBE3C	-0.19223781078647	0.0451142554503878	0.147123555336083	-0.318516627334684	0.263989989451286	0.0545266378833986	-0.176872802844345	-0.184908870850269	0.361781673694614	-0.396766832833843	0.220257744904403	0.176509087929441
UBE3B	-0.29976108308221	0.159006575984014	0.140754507098196	-0.350303812619647	0.20311923606347	0.147184576556176	-0.185302895154381	0.246655042969934	-0.0613521478155548	-0.379461181555931	-0.13435756564672	0.513818747202651
UBE2T	-1.5219468244685	0.897972709476418	0.623974114992084	0.660261521582198	-0.275264172703714	-0.384997348878485	-0.547216567571301	0.0260655603921816	0.521151007179119	0.250601978738763	0.0167551423859607	-0.267357121124725
UBE2K	0.113664184872717	-0.101786136625831	-0.0118780482468868	0.156947568208179	0.0339599203522578	-0.190907488560436	0.052359368561758	-0.218941607840305	0.166582239278548	-0.0723569555513235	0.0113869721868216	0.0609699833645019
UBE2I	-0.309956627698922	0.239552874971636	0.0704037527272874	-0.265323480914299	0.440494268280887	-0.175170787366588	-0.098483165129581	0.0885662548132924	0.00991691031629038	0.200689720412454	0.0936652888676495	-0.294355009280105
UBE2G2	-0.24479768527643	0.670946891845295	-0.426149206568867	-0.132811037540325	0.474151727250744	-0.341340689710419	-0.0573195975121799	0.265633514752418	-0.20831391724024	0.0696683099669091	-0.117067518683951	0.0473992087170405
UBE2G1	-0.394926990790097	0.00429176553774013	0.390635225252359	0.215603199659252	0.0247708411138294	-0.240374040773082	-0.14614342565954	0.199716502759932	-0.0535730771003919	0.115304608656057	0.167536231179813	-0.282840839835872
UBE2E1	-3.03879055270892	-0.0770263090855661	3.11581686179449	-0.316245740473505	0.327510750783262	-0.0112650103097547	-2.28982080356519	-1.31959705234084	3.60941785590603	-0.156754392925736	0.16499477914285	-0.00824038621711409
UBASH3B	0.505318833186585	-0.212086052506794	-0.29323278067979	-0.475579085776348	0.00705859967484468	0.468520486101504	-0.111934716026354	0.359831138225042	-0.247896422198688	-0.984966434650306	-0.0698477144923606	1.05481414914267
UBASH3A	-0.101442496675624	-0.0217689623368069	0.123211459012431	0.0565955585194969	0.113026859593055	-0.169622418112552	0.544357481873296	-0.432384554497358	-0.111972927375938	0.338309142676898	-0.0312706187510027	-0.307038523925896
UBA3	0.0557582087459103	0.29954417004398	-0.35530237878989	0.254684760310866	-0.374872477630669	0.120187717319805	-0.0933535877970453	0.167817918851046	-0.0744643310540027	0.0909873530720695	0.00455501005181347	-0.0955423631238848
UBA2	-1.00707734079348	0.570692713395225	0.436384627398256	-0.695011827369184	0.595138416906254	0.09987341046293	-0.630002144617539	0.612300739063517	0.017701405554023	-0.708538815161667	0.274098627424344	0.434440187737323
