eCFC2	eCFC3	eCFC4	eCHC1	eCHC2	eCHC3	eCHC4	lCFC2	lCFC3	lCFC4	lCHC1	lCHC2	lCHC3	lCHC4
VWA2	-0.385886163715277	0.468911843359108	-0.0830256796438313	0.281066501201998	-0.128500628345528	-0.0908695669503101	-0.0616963059061606	0.496996478553056	-0.28154967946173	-0.215446799091327	0.728525487292568	0.0558006367348147	-0.720781171687868	-0.0635449523395133
VTN	-0.280535435914147	0.173319136264843	0.107216299649304	0.411833523484239	-0.315317174391598	-0.323390737920843	0.226874388828202	-0.0344342689661448	-0.211974989793012	0.246409258759157	-0.222131814447559	-0.125880346957228	0.383559459117763	-0.0355472977129756
VSTM2A	-0.0414111541266714	0.0704016656978417	-0.0289905115711703	0	0	0	0	0.124568336666071	0.103838991551431	-0.228407328217502	-0.104738190563423	-0.104738190563423	-0.104738190563423	0.31421457169027
VSNL1	-0.129776848747558	-0.117354751432836	0.247131600180393	0.0786458282427258	-0.151622189530272	-0.113979277335854	0.186955638623401	-0.0757152145609927	0.565737473598807	-0.490022259037814	-0.28205423078137	0.0461080930050763	0.334801307900298	-0.0988551701240037
VPS72	0.845451891263295	-0.342193944617488	-0.503257946645812	-1.08622764837738	2.14599619488271	-0.133439259197704	-0.926329287307627	1.93801998348228	-1.08828691142569	-0.849733072056594	-0.294916720030782	-0.550699913709108	0.644940873695473	0.200675760044417
VLDLR	-0.147626026674925	0.226874063846141	-0.0792480371712152	0.690238535835822	-0.804910667964473	0.156950704690915	-0.042278572562263	-0.771075577424971	0.477514482972879	0.293561094452093	0.440030120937812	0.0612225263474251	-0.560107749233356	0.0588551019481196
VIT	0.387395477968618	-0.885271175991	0.497875698022382	0.681815848888034	-0.168462795491911	-1.16060641208687	0.647253358690741	-2.8477590372718	-1.36941449478888	4.21717353206068	2.03215417469054	-0.272523178734879	-2.66903199241062	0.90940099645495
VIPR2	-1.22671753852465	0.288127073177303	0.938590465347342	-1.80737390704746	0.57391972301181	0.921136825807525	0.312317358228125	-1.32546616983438	0.759979332856831	0.565486836977554	-0.929582837436862	-0.361932257772576	1.102451442907	0.189063652302437
VIP	-0.19362171882289	0.297517108263892	-0.103895389441002	0.392644378199237	-0.67918032228601	0.221948457463115	0.0645874866236582	-1.46189560087003	1.40745153311298	0.0544440677570437	0.667868385257646	0.469741705680681	-0.565770338615026	-0.5718397523233
VIM	1.49935526542992	-0.211237165719972	-1.28811809970995	-2.06193347650055	-2.5037999939782	2.48587774868293	2.07985572179581	-2.32275351486576	7.3749819265047	-5.05222841163893	0.062119775980122	1.54089252136122	-0.416136159245347	-1.18687613809598
VILL	0.19785515912103	-0.592681846560397	0.394826687439367	0.929893541577662	-0.210908022238876	-0.292968218781624	-0.426017300557162	1.8552228388454	-0.183231468853837	-1.67199136999156	0.177306143924147	0.565226168632257	0.199129704106349	-0.941662016662754
VGLL3	-0.538251706386625	0.386283600812388	0.151968105574237	-0.0477248871998048	-0.44204872730155	0.245553682738604	0.244219931762752	-0.880314404507337	0.740252668781692	0.140061735725645	0.205342051574222	0.432043625861467	-0.38265574470211	-0.254729932733579
VEGFD	-1.24117063674061	0.303551656817793	0.937618979922819	1.65802789709774	-1.56763745535299	0.112438725187499	-0.202829166932246	-1.2682636112611	0.609463316691486	0.658800294569617	1.14679342967796	0.353281169037942	-1.14059281923103	-0.359481779484875
VEGFC	-0.134103526850332	0.082089883414282	0.0520136434360507	0.136492670840571	0.15318628383884	-0.092673941351971	-0.197005013327441	0.0314329691204986	0.180184020748445	-0.211616989868944	0.418236968966991	0.123025284165873	-0.249147279146647	-0.292114973986217
VEGFA	-0.783321551438893	1.34907783978365	-0.56575628834476	-0.681121023636656	-0.831707276000345	0.849892166487325	0.662936133149675	1.17539626466299	-0.75614466733431	-0.419251597328683	0.188898943910444	-0.04469454450365	-0.109522931763903	-0.0346814676428915
VDR	-0.279076655502198	-0.187080156336255	0.466156811838453	0.269163074412248	0.0701452559903224	-0.512572740060522	0.173264409657952	0.169259229915549	-0.215647358454697	0.0463881285391481	0.171140434492588	0.0189790945146489	-0.069183646619376	-0.12093588238786
VDAC2	1.02414525505531	-0.635979651696925	-0.388165603358381	-0.846069690482381	1.24417488075883	-0.486067608662594	0.0879624183861445	-0.449462533715888	0.658435006190047	-0.208972472474162	-0.470531138005704	-0.547895407096366	0.399351014932545	0.619075530169532
VCL	-1.34603052682631	1.57236544223643	-0.226334915410117	-0.321681161036398	-0.954489114181607	1.33677622981512	-0.0606059545971078	-3.84731480067873	0.950042587809422	2.89727221286931	0.866389760983182	-0.0880208250804557	-0.674644833621128	-0.103724102281596
VCAN	-0.387039403278965	1.25322439835599	-0.866184995077028	-1.15753709315948	-0.248099306435256	1.67240749576171	-0.266771096166979	0.812412850734184	-1.52626324365994	0.713850392925762	0.373787287822767	-0.0167247302003712	-0.0287176241392677	-0.328344933483127
VAV3	-0.235166920114991	-0.0991582039190266	0.334325124034017	-0.706720050011193	0.130379998328051	0.441526279708811	0.134813771974332	0.431427258490346	-0.0353711088274462	-0.3960561496629	0.411713654440522	-0.0456325476162576	-0.528018777320691	0.161937670496425
VAV2	0.00167427938194287	0.743901862837502	-0.745576142219443	0.00407475615134878	0.105853448881382	0.216869957911818	-0.32679816294455	1.59442430944023	-1.0589979088257	-0.535426400614524	0.60592826080406	-0.0920780310822185	-0.920304889382427	0.406454659660589
VAT1L	1.43298583032561	-0.278839324712973	-1.15414650561264	2.53145009331188	0.200136369436878	-1.38497971000499	-1.34660675274377	0.25421548170172	-0.133809991791347	-0.120405489910373	0.391672217584683	-0.493454689762157	-0.0933740294323062	0.195156501609782
VASH1	-0.245297682224788	0.243238385699382	0.00205929652540959	0.711042110410787	-0.616036749031547	0.25959725611288	-0.354602617492123	1.23550208685105	-0.958321198955426	-0.277180887895618	-0.0810756400100487	0.770537902573437	-0.52856820800478	-0.160894054558614
