eFCor1	eFCor2	eFCor3	eFCor4	eFCor5	eHCor1	eHCor2	eHCor3	eHCor4	eHCor5	lFCor1	lFCor2	lFCor3	lFCor4	lFCor5	lHCor1	lHCor2	lHCor3	lHCor4	lHCor5
VWA2	4.94406483553525	0.813092976767771	-1.08107442020627	-2.68718689652663	-1.98889649557012	3.84772765911946	1.32237991685439	-1.09252853612237	-2.19151593577042	-1.88606310408106	0.837372079672961	-0.644417149406291	-0.370439620839093	-0.529740997260453	0.707225687832875	1.21419568675817	-0.161197395295888	-0.470244697456318	-1.82524310219712	1.24248950819115
VTN	0.194606502930287	-0.160163969049634	-0.588608124103708	0.139054408943033	0.415111181280023	0.21791848270594	-0.308000964142307	-0.0801446356983944	-0.265300021528921	0.435527138663683	0.407548267770915	0.0448247933629264	-0.261075175581171	0.0697772900285019	-0.261075175581171	0.161263955580846	-0.167374125839086	0.204578010241517	-0.117923862415081	-0.0805439775681967
VSTM2A	0	0	0	0	0	0	0	0	0	0	0.0215928256648454	0.0367412485847124	0.0179636472088607	-0.0590891828341889	-0.0172085386242298	0.0825557370928752	-0.24883910091949	-0.450520173998006	0.0683520061554269	0.548451531669193
VSNL1	-0.246140958877824	0.293162407422671	0.772465934763232	-0.159737585850027	-0.659749797458051	-0.219492748978859	1.03397173442172	0.885568612050343	-0.344490102818919	-1.35555749467429	0.443872931607464	-0.333536518588772	-0.558194476268696	-0.0617159015775863	0.509573964827593	0.305688108653461	0.63530496050931	0.264998340285838	-0.465824210289486	-0.740167199159122
VPS72	0.454524593934847	0.197669296261086	0.165315051202752	-0.102315794077332	-0.715193147321354	0.636373263705696	-0.400217628451093	0.662424215072916	0.714891951011442	-1.61347180133896	-0.56237342686499	-0.286803698531993	0.713306556252427	-0.0752120868359523	0.211082655980507	-0.0582337266874635	0.166678232895005	-0.24395900737829	-0.0984066593567761	0.233921160527525
VLDLR	-0.180074715375612	0.0867774720736803	0.00304788622628394	-0.0540485275198708	0.144297884595519	-0.401138500643345	0.093643397765617	-0.34085764873852	-0.452469256279943	1.10082200789619	0.226052786245715	-0.131918212238044	-0.354580883027134	0.582543051288238	-0.322096742268775	-0.492106819193281	-0.0249704333084715	-0.056182514269409	0.192745611352868	0.380514155418292
VIT	1.39958355618382	-0.213252104472829	-0.449664135633564	-0.712014113809667	-0.0246532022677606	1.07508968152865	-0.425277601753811	-0.951055015417277	-1.34539980558831	1.64664274123075	0.434781704603841	-0.645255866314024	-0.664586987264375	1.41028942089348	-0.535228271918927	-0.501085095545518	-1.00486706881034	0.0271228494597384	1.40178162118065	0.0770476937154765
VIPR2	0.338632162133445	-0.0316544262049603	-0.0625476623077299	-0.188543394236892	-0.0558866793838622	0.802864387419497	0.467527841423912	-0.426061985348261	-0.524585683799072	-0.319744559696075	0.26342593051786	-0.0490590229999572	-0.312056195520648	0.453451810162583	-0.355762522159838	-0.266499894071949	-0.260669101610651	-0.224669878346599	-0.038383038445934	0.790221912475134
VIP	-0.0415867578222303	-0.0521496785648536	0.0713520954924464	-0.342069950363843	0.364454291258481	0	0	0	0	0	0.186105339318336	-0.259560140610276	0.0537034001984177	-0.259560140610276	0.279311541703798	-0.321625118517619	0.296944808006456	0.0771090034233052	-0.321625118517619	0.269196425605477
VIM	3.46753504622216	0.996558954153215	-1.25588398920287	-3.00614166772263	-0.202068343449866	1.9579359542566	1.54790437653442	-0.785579377811132	-3.41495734980113	0.694696396821229	-2.82504792186234	0.270250075717193	2.23836418254344	-0.437728080253336	0.754161743855036	-0.828961455948964	0.779174522000361	0.945452430650249	-0.283304858150949	-0.612360638550705
VILL	0.251322199536908	0.322288829233647	-0.108979112063276	-0.09398462787175	-0.370647288835531	0.320943070527113	0.151276184392337	0.198510309119461	-0.445722422299526	-0.225007141739383	-0.367750563636925	-0.261937463472551	0.229954042419438	0.287621765195903	0.112112219494138	0.365129546980114	0.193389085955657	0.456478719090862	-0.528147787610495	-0.486849564416139
VGLL3	-0.441979871783195	0.0312923127531275	0.620796802243671	0.382934739383908	-0.593043982597511	0.209694482854643	0.44509739316877	0.316470993439109	-0.0748861647387553	-0.896376704723766	0.284537602813224	0.0437983062604292	-0.0779487624215696	0.20966272067905	-0.460049867331134	0.109023769615946	-0.213471547863137	0.0299947711429205	-0.69648409667798	0.77093710378225
