,AxmFD1,AxmFD2,AxmFD3,AxmFD4,AxmHD1,AxmHD2,AxmHD3,AxmHD4,AxmHD5,TurFD1,TurFD2,TurFD3,TurFD4,TurFD5,TurHD1,TurHD2,TurHD3,TurHD4,TurHD5,CorFD1,CorFD2,CorFD3,CorFD4,CorFD5,CorHD1,CorHD2,CorHD3,CorHD4,CorHD5,ChiFD1,ChiFD3,ChiFD4,ChiHD1,ChiHD2,ChiHD3,ChiHD4,EmuFD1,EmuFD3,EmuFD4,EmuHD1,EmuHD3,EmuHD4,OstFD1,OstFD3,OstFD4,OstHD1,OstHD2,OstHD3,OstHD4,OstHD5
HAND2,0.059551847,0,0.738340398,1,0,0.017986143,0.22166924,1,0.614471805,0,0.233372372,0.640018981,0.937293878,1,0,0.237817999,0.493780843,0.758208574,1,0,0.237312052,0.369159816,0.526364101,1,0,0.267419704,0.552211457,0.834104983,1,0,0.515071037,1,0,0.216917292,1,0.731563059,0,0.19923543,1,0,0.736000288,1,0,0,0,0,0,0,0,0
SPON2,0,0.797847845,1,0.050554093,0,0.454792109,0.694275145,1,0.284101776,0.891459062,0.25259529,0.639938558,1,0,0.512783502,0.085305477,0,0.050974581,1,0,0.339235726,0.754633339,1,0.581859002,0,0.706920265,0.96517194,1,0.523230442,1,0.262650795,0,0,0.251653329,1,0.160378009,0,0.402261999,1,0,0.996385486,1,0.575180289,1,0,0.044806442,0.243089369,1,0.388000314,0
TBX15,0.504478806,0,0.970488354,1,0.028201413,0.48187578,0.607681875,1,0,0.294674761,0.621219313,1,0.916255724,0,0.455772599,0.662503291,1,0.751757773,0,0.226697295,0.675756194,1,0.877976926,0,0.571571092,1,0.94174665,0.698958684,0,0,1,0.976254659,0,1,0.784017329,0.913655073,0,0.810809013,1,0,1,0.651196386,0,0.780216475,1,0,0.615519369,0.438211656,0.608924792,1
ALX1,0.612244879,0.970638529,0,1,0.879299991,0.659925038,1,0,0,1,0.35842965,0.149200353,0.094948282,0,1,0.222465947,0.220862068,0.006329148,0,1,0.005113013,0,0.004067894,0.033138339,1,0.022368936,0,0.008815863,0.063241557,1,0,0.054081159,1,0.182994355,0.008499226,0,1,0,0.122680724,1,0,0.016825597,1,0,0.405494641,1,0.384384055,0.743369233,0.290221663,0
ALX4,0.445279198,0.13985224,0,1,1,0.70288761,0.429395225,0,0.226064613,1,0.113794467,0.335070544,0,0.157004321,1,0.258328152,0.901614866,0.250098361,0,0.180328137,0,0.189176283,0.220847018,1,0.132585998,0.023662802,0,0.023239846,1,1,0,0.939108746,1,0,0.787338691,0.831487585,1,0,0.334173963,0,1,0.435797697,0,0.602687728,1,0,1,0.558834317,0.192600706,0.565849195
DLX6,0,0.072648203,1,0.932426673,0.02072563,0,0.12849428,0.236473326,1,1,0.379523993,0.132216061,0,0.179503712,1,0.404516977,0.154439389,0,0.183757915,1,0.07694017,0,0.005596611,0.970254753,1,0.146668561,0,0.018677449,0.846764932,1,0,0.29985886,1,0.737043386,0.058337459,0,1,0,0.229709847,0.860484389,0,1,1,0.16788843,0,0.060982767,1,0,0.321456964,0.276494609
FGF18,0,0,0,0,0,0,0,0,0,1,0.467407725,0.517376712,0.189350087,0,1,0.293730909,0.274023487,0.164002257,0,0.934662395,0.871759798,1,0.386087721,0,1,0.565421244,0.402364389,0.013862998,0,1,0.06084416,0,1,0,0.80155283,0.729360096,1,0.823990217,0,1,0,0.287100082,1,0.576445308,0,0.255447353,0.140319714,0.054459835,1,0
LHX9,0.500864566,0.650186139,1,0,0.218761804,0.289894882,1,0.594882324,0,1,0.591912379,0.151870903,0.010638918,0,1,0.57520373,0.218533151,0.054006185,0,1,0.450136615,0.208215558,0.012390821,0,1,0.488386104,0.16494371,0,0.063781337,1,0.098147507,0,1,0.945496507,0.087838745,0,1,0.291153827,0,1,0.080322369,0,1,0.040045923,0,1,0.99198616,0.092013116,0.062823445,0
MDGA2,0.119383524,0.382683483,1,0,0.146949373,0.67626603,1,0.670446826,0,1,0.542390198,0.175371245,0,0.003995268,1,0.543629019,0.133934569,0,0.198378967,1,0.307875318,0.078737298,0,0.47911062,1,0.402056826,0,0.027678295,0.6855708,1,0.071374658,0,0.398018532,0.597488274,1,0,0.716609206,0,1,0,0.205384518,1,0,0,0,0,0,0,0,0
SFRP2,0,1,0.417537411,0.252837672,0.070584734,0.049578625,0.097734325,1,0,1,0.606494651,0.259524133,0.13529642,0,1,0.774170534,0.592481319,0.249797539,0,1,0.408820558,0.394212883,0.251035948,0,1,0.577654526,0.360736753,0.124587887,0,0.285794223,0,1,1,0,0.206647983,0.070264281,1,0,0.056762297,1,0.789490591,0,0,0.146220539,1,0.364557485,0,0.231639583,0.658144464,1
LGR5,0,0,0,0,0,0,0,0,0,0,0.022474312,0.329094699,0.68847549,1,0,0.032408572,0.237014197,0.447721843,1,0.127190186,0.084958407,0,0.085651407,1,0,0.160179586,0.071242394,0.121105325,1,0,0.0929616,1,0,0.769196284,0.012484587,1,0,0.230564091,1,0.273175062,0,1,0,0.100266798,1,0.649827826,1,0,0.493781476,0.899657326
HOXC10,0.208011726,0,0.354924649,1,0.116269269,0,0.364032142,1,0.885106459,0.21835069,0.63221766,0.583128876,1,0,0,0.016291963,0.058852563,0.482632588,1,0,0.754158167,0.868805553,0.739115216,1,0,0.043398153,0.128008499,0.666114645,1,0,0.610440062,1,0.005499054,0,0.232463249,1,0,0.259272518,1,0,0.229765068,1,0,0.367001766,1,0.077112416,0,0.154694495,0.973542991,1
