Tau	D1	D2	D3	D4	D5	Tau_info	gene	names
CXCL14	0.629787343775358	103.240713613209	74.7348135431532	80.4314537074121	108.860350067005	248.011058479268	MAX_ D5	CXCL14	eCorH
DACH2	0.669385334506366	8.83678458851613	7.2374303710391	8.3482953350001	14.9553209296749	29.7762284421322	MAX_ D5	DACH2	eCorH
DAPP1	0.616593204148093	10.4039384284471	15.4765424709481	10.8968642107898	13.408346250462	32.7235275323807	MAX_ D5	DAPP1	eCorH
DDX58	0.502707728498942	5.82442830082797	6.35486552355069	5.15863156927696	6.41648103231867	11.9418739176624	MAX_ D5	DDX58	eCorH
DIO2	0.620592496892509	3.69684168471865	1.15102961999177	0.839867916854858	0.795379579947081	2.82416077513746	MAX_ D1	DIO2	eCorH
DIO3	0.698558949520252	40.0431121810287	32.3343739626702	53.9546805922367	120.504306067337	18.9676116971491	MAX_ D4	DIO3	eCorH
DIRAS2	0.583575095996135	0.607988232116106	1.51611423001075	1.21649179083947	3.56497271056458	4.14574566574602	MAX_ D5	DIRAS2	eCorH
DLK1	0.749658996589082	144.853660225588	201.083851804488	178.75391342167	189.229699389941	712.94865315155	MAX_ D5	DLK1	eCorH
DLX2	0.534878133460865	2.86145631339795	3.86355529642145	2.99243051388296	10.7510614101863	10.2847728778285	MAX_ D4	DLX2	eCorH
DLX6	0.685707089356445	40.3376638546518	8.73944142637108	3.30841472446683	4.00002662028058	34.6634843546409	MAX_ D1	DLX6	eCorH
DNAH11	0.707346077409946	1.06397661768618	0.866119324727059	0.806457884523262	0.869545290963104	3.08051493551223	MAX_ D5	DNAH11	eCorH
DNAJC12	0.663244333359352	19.6887793091364	17.4398965867268	15.5615047195365	16.3589089122426	51.2605253361071	MAX_ D5	DNAJC12	eCorH
DNER	0.622493120831122	8.46846602386912	1.63446777575319	1.08805655096608	2.57301064558107	7.49208174777369	MAX_ D1	DNER	eCorH
DOCK2	0.621840957709676	1.00992055042021	1.88187038844315	1.4044586420879	2.79962964801672	4.69106806622401	MAX_ D5	DOCK2	eCorH
DOK5	0.774925012996766	2.28391223330484	2.33813616253945	2.56416711638142	4.49399570167071	12.9736886464072	MAX_ D5	DOK5	eCorH
DPP4	0.6763011755075	8.84372028565653	8.65888111316726	7.20219978281231	9.16845134351103	26.1610870677814	MAX_ D5	DPP4	eCorH
DRD5	0.525223393800194	2.98978635902069	2.56012116848831	3.26608746879703	5.21738656098833	7.38946557920154	MAX_ D5	DRD5	eCorH
DRGX	0.716318557306269	2.63133130022477	1.61399572154635	1.93466604950526	2.47430472669829	7.62677469822908	MAX_ D5	DRGX	eCorH
DSP	0.558970910753554	16.5056180763725	21.0482265160866	16.468665474147	18.6028683394522	41.1681339036774	MAX_ D5	DSP	eCorH
DST	0.583319093365505	17.8535280862639	18.9617464759227	16.398037021135	18.782536374505	43.1960325104241	MAX_ D5	DST	eCorH
DUSP5	0.639362513919455	6.85763340315333	9.3084068363875	6.84947637907342	7.68514181083935	21.282215253822	MAX_ D5	DUSP5	eCorH
ECEL1	0.51511864356267	12.8239075277981	9.85886147970973	13.5888184595412	8.87018914726144	23.2746506000922	MAX_ D5	ECEL1	eCorH
ECM2	0.550497209650443	5.86683542802123	9.15375994381417	6.46679480413263	6.93875655074141	15.8097721176568	MAX_ D5	ECM2	eCorH
EDIL3	0.621449380078787	10.1075031872515	11.9768802276415	8.60624809603842	12.169209982725	28.3052247428473	MAX_ D5	EDIL3	eCorH
EFHD2	0.681649997768364	6.7790424166271	6.29097628002177	6.44343145338741	8.82764079781133	22.2562358639676	MAX_ D5	EFHD2	eCorH
EFNB2	0.505110512654141	17.5632714357335	21.6358178951975	17.7832749043619	23.1772965557156	40.4937177090347	MAX_ D5	EFNB2	eCorH
ELAVL4	0.670338972582188	1.69801030823803	1.88596734679636	2.66146272062975	1.69504291178893	6.02170307303971	MAX_ D5	ELAVL4	eCorH
ELF5	0.772402062899061	1.27587342131904	0.479035213398971	0.97331364729517	1.07773400584284	4.18056984208087	MAX_ D5	ELF5	eCorH
ELFN1	0.50724210737736	9.43515921705455	15.1489003954149	18.019828159182	24.3879081018038	5.46544903522634	MAX_ D4	ELFN1	eCorH
ENO4	0.647449621405448	8.79991021422541	8.85625795818473	8.13381355092778	7.59914684758078	23.6768491811192	MAX_ D5	ENO4	eCorH
ENPP3	0.6310637495849	1.33031217591166	2.17902299308914	1.36778566602025	2.41077446636863	4.93845162490124	MAX_ D5	ENPP3	eCorH
ENPP6	0.588415356063858	3.77155876542857	3.99801729981705	2.11915501164776	2.17195328869387	7.3257618713895	MAX_ D5	ENPP6	eCorH
ENTPD3	0.770902563630302	0.765063560906829	1.76782146902239	1.79066054442628	6.07758196014384	1.24588821122722	MAX_ D4	ENTPD3	eCorH
EPS8L2	0.509136417900873	8.39040777102823	10.8036261415236	10.6735792671323	10.9600380886341	20.7937870913763	MAX_ D5	EPS8L2	eCorH
EPS8L3	0.51495667254843	2.51778968638798	2.70863531442176	3.49883263275229	2.35798082239596	5.71249918754145	MAX_ D5	EPS8L3	eCorH
ESM1	0.50882161940353	6.3972558554946	8.54276301946229	3.75754582645966	4.74200578697937	1.88727455394197	MAX_ D2	ESM1	eCorH
ESRP1	0.516064606937997	4.16033332785876	7.61718637711841	6.25079205194407	5.82485710537784	12.3224965585659	MAX_ D5	ESRP1	eCorH
ESRP2	0.612207598378212	7.10787739616789	9.27825408169919	7.07204744942792	9.9610890173402	21.5445608300165	MAX_ D5	ESRP2	eCorH
ESRRG	0.545388401711157	1.44142880517624	2.84840558512518	1.93295542496017	1.80167834604793	4.41281535244239	MAX_ D5	ESRRG	eCorH
ESYT3	0.541053375715046	3.19832948196692	4.92525355700327	4.02065202222417	3.90009454761587	8.73975793688839	MAX_ D5	ESYT3	eCorH
ETNPPL	0.53185608792719	6.13879990933801	3.78573219027234	2.23612007325886	3.12952661824168	2.34398833818595	MAX_ D1	ETNPPL	eCorH
EVX1	0.582867210050741	0.713264829814026	2.05554354719198	5.92129356017098	7.54943021898162	3.9063576219072	MAX_ D4	EVX1	eCorH
F13A1	0.585268652474961	3.18243356574131	2.53778845610453	1.91960737190342	2.42345983612423	6.06614938195981	MAX_ D5	F13A1	eCorH
FABP7	0.583966797327034	1.25506987469198	3.2292302439514	1.03090965159818	2.713873730986	0.374014744961854	MAX_ D2	FABP7	eCorH
FAM110C	0.561496970136008	1.17177243800569	1.95017265461931	1.34086075995965	1.00559891878793	3.11765506675557	MAX_ D5	FAM110C	eCorH
