data$Gene	bud_OF	bud_OH	eOFC2	eOFC3	eOFC4	eOHC1	eOHC2	eOHC3	eOHC4	eOHC5	lOFC2	lOFC3	lOFC4	lOHC1	lOHC2	lOHC3	lOHC4	lOHC5
PIGW	40.66451738	45.04276602	35.21991658	33.1563815	27.35601469	26.89100068	36.50301163	30.93539925	36.58818317	32.78543758	37.34221682	31.41970856	36.34997971	30.97267236	33.94556263	40.54005272	33.17476592	32.33911688
PIGY	116.3161155	116.2873048	130.864079	144.0532302	151.2691397	135.512988	170.1283398	187.833673	135.2333635	129.6033043	156.8794028	218.835937	170.33808	94.77368946	184.3050935	188.006933	183.6269612	133.3219947
PIH1D2	11.72957337	15.24022028	12.42245508	14.57824646	11.75306187	8.176863406	8.830274101	13.33342451	12.38070358	10.34895889	17.94325061	12.97335614	19.14924463	13.36973658	11.75972069	14.57641016	10.64136206	9.784854843
PIH1D3	19.4986841	18.18275859	12.41097015	9.767941098	11.08674149	13.0366003	12.6443095	12.20364378	8.903139953	10.96553417	12.69173854	14.22786999	8.892243001	8.137101335	14.3361949	8.551718591	8.901658965	7.662594955
PIK3AP1	0.734209256	0.839931635	3.28871322	5.744134924	4.5824196	4.494616468	4.141498001	3.261508971	4.806754314	3.026371171	2.512392497	4.093353937	3.794615511	2.293398286	2.342560362	1.546887104	3.689759701	1.425024377
PIK3C2A	10.79735795	6.67797801	7.677780195	8.550251167	6.993930422	8.748990611	9.90225899	12.80652799	9.634566355	8.997983464	7.891609059	11.40264551	12.29205456	5.259795809	10.6851594	8.79461698	10.54646501	8.699072692
PIK3C3	34.90717327	29.83710527	31.2938381	32.58207469	28.627086	29.10532146	34.19214908	34.8790097	35.83883323	32.10053606	42.53592634	44.40776677	44.2576057	28.26691249	37.46521521	37.25310912	36.92027439	35.95228356
PIK3CA	6.057813065	3.471578942	2.600585822	3.519571428	2.354768822	2.478679252	3.832842394	5.41764868	3.530936837	4.259520804	4.397030441	6.0129397	5.664448206	1.767176533	5.281237693	4.432333545	4.378801824	4.210111936
PIK3CB	5.791209803	3.214448634	3.970264095	4.440047596	4.417815308	5.008539297	6.541919024	8.240132564	7.010295139	3.961355033	6.088342836	8.916282721	7.9856359	3.892771628	6.701141861	6.226580418	7.713260486	5.983002452
PIK3CD	2.605895336	1.302862041	3.69999741	3.520251212	2.809484159	4.373940086	4.307058758	6.219404668	4.236059429	4.114030402	3.94816566	6.811713766	7.623259072	2.26982979	3.882707439	4.185929623	5.906138355	2.725793052
PIK3CG	9.51180814	4.409789457	4.198250965	3.278741559	5.758326249	5.266658591	5.53334573	7.507958939	6.555313623	5.310415554	5.889131506	6.855468242	7.143340644	4.05872999	5.838385891	5.533228281	6.009846105	4.174590347
PIK3IP1	53.14272466	33.74672896	33.99630153	34.50503681	38.929058	43.97388973	40.54267211	37.86740478	33.51064328	32.42243801	29.83854525	39.33413101	35.19267021	22.02552544	25.58964652	32.59168225	44.12175372	22.13037269
PIK3R1	8.609767661	4.78560541	13.93043588	17.81089895	21.41738154	26.40743681	31.9278425	34.55410041	28.89152231	22.43461485	74.76115518	79.81080313	92.76225042	27.76272763	59.30213533	60.52665842	33.70566129	42.45633157
PIK3R4	28.25138891	26.31231039	21.05268048	21.57309499	20.22206541	22.5669681	24.19140577	27.37225469	25.07485804	27.14317647	26.94268123	31.24505515	28.19491689	19.97621318	26.47792408	27.57706674	24.02449928	22.8426273
PIK3R5	0.521219518	0.523326514	0.81898386	0.34692066	1.3453377	1.578482873	1.641094001	1.93122033	1.782684889	1.30765788	2.349316136	1.928605645	2.677700552	1.015613139	2.506451283	2.244391951	3.230716917	1.230277921
PIK3R6	0.405479184	0.227782357	1.345995717	0.707710164	1.137843949	1.578075725	2.313982352	1.853066067	1.951343821	3.069727457	2.419891961	2.534858271	3.003951504	2.68881965	2.847341161	2.764642212	6.086214318	2.5597425
PIKFYVE	6.002570786	3.107735636	3.428845241	3.227073673	3.415851621	4.150178701	4.403786476	4.758147529	4.530744462	3.696148187	4.145881021	6.646461056	7.184406155	2.798237972	4.294212152	4.706789039	5.416434872	4.444592738
PIM3	20.36594534	15.96675078	32.66472579	43.17844452	33.72465666	56.26315095	51.43882321	58.94411626	38.84069869	33.00633141	48.3124303	51.80759682	45.76721196	36.34878724	54.33312679	51.14343694	53.52314541	35.25078171
PIMREG	67.38252764	52.30495606	25.06379699	22.47809239	17.43603957	24.1034765	25.67858531	40.51586609	26.1683837	24.41279543	32.05237905	48.90531915	44.23611524	32.92098259	49.13042174	52.4976403	42.44589597	37.90971198
PIN1	135.2962258	116.2194366	105.974769	110.7531246	101.1603979	102.4602018	106.8438861	115.5446229	119.6730349	113.2735461	106.3612728	113.8368173	108.5215999	85.95835122	107.3419452	107.3280886	97.19291937	106.061435
PIN4	154.1523796	177.5688211	192.8760203	207.3064385	238.2086017	219.11105	206.3576507	196.1442802	199.5261498	226.2943055	181.1156488	166.244516	159.4616784	227.424853	174.6734008	180.4213003	186.7862116	175.3966475
PINK1	35.07230793	27.66630504	55.79381323	53.69670736	41.70113384	54.15427248	45.61439452	45.45028712	52.01090891	54.48559632	53.77994892	51.98930599	50.35072882	48.89675881	48.81164405	46.18683789	48.67511449	47.08987164
PINX1	74.34626728	50.51566185	49.81045902	47.29916028	41.54256406	43.10339306	44.46886561	52.26537999	44.60417232	43.61887135	48.79113584	49.43937637	45.96706498	35.0612864	43.62499673	46.66215914	42.1646679	40.29375718
PIP4K2A	23.31062041	18.66480209	7.535082147	10.12378653	6.746284154	9.721222444	12.05318382	13.93549851	10.80436442	7.96312434	14.20538034	17.69566123	17.32101301	9.09803143	16.97300371	19.66096236	15.16117656	12.79220636
PIP4K2B	16.57406832	9.905770044	18.11033277	17.75426286	14.35076981	20.89305244	24.44578667	26.75326494	22.35353691	21.43684809	17.23861927	28.93848518	27.85713762	11.02544531	21.08105106	22.47386939	25.90382745	16.59667579
PIP4P2	41.09386482	28.35835559	25.98963937	25.68982994	23.62944231	25.77745501	36.42362936	36.13751289	32.86382059	28.68951016	40.32465869	43.08361546	43.55396876	36.06418419	48.46239733	45.69013216	46.41392679	52.66136387
PIP5K1A	58.38356907	65.76885992	43.14904546	45.37369164	41.27411976	47.06603143	43.9587684	49.62428053	43.42996047	45.98526747	50.38724192	56.84099158	53.90874729	36.02124666	55.15379804	55.28688948	51.18110528	47.96818444
PIP5K1B	1.537369254	1.872840549	1.136924793	4.522403158	3.273894429	1.555154782	1.561670355	2.794980093	4.921229126	0.672156735	3.606705765	6.134153812	6.474470243	1.138637449	2.769303508	2.577268808	3.83656544	1.409431966
PIP5K1C	14.18130291	9.221520593	13.26123886	16.3696628	14.78795506	16.99392843	14.80523898	17.40679919	13.58938771	16.24682022	16.22908532	21.97889506	20.3120106	13.96230438	17.30815614	17.67024686	17.21938543	14.85839571
PIRT	0	0	0	0	0	0	0.250372925	0	0.444708304	0.241072908	1.050518741	0.791243165	1.660377921	0	0.65362621	0.433328009	0.274242444	0
PISD	28.30963252	17.91461484	17.72210624	22.35919163	15.54260675	16.77766089	24.79186317	29.99405673	26.85525655	20.56871976	24.0506471	27.00716625	31.53622493	16.61626011	22.22813978	23.488329	26.39024698	20.58479549
