data$Gene	bud_EF	bud_EH	eEFC2	eEFC3	eEFC4	eEHC2	eEHC3	eEHC4	lEFC2	lEFC3	lEFC4	lEHC2	lEHC3	lEHC4
GALNT13	4.70694766848023	6.84238889678367	5.85231405716937	7.24245307179186	8.4730604474111	6.28025881052946	6.93350045634008	7.01960268336168	10.4349821360464	7.39345613811904	7.6270404078307	3.7654736550974	5.05278189350734	5.74819610344022
GALNT14	8.96781433268466	3.26198675158967	14.0897393906919	7.85508819770152	3.01930455536703	8.59998697651868	9.50445909250351	15.8449978385721	29.8183842543943	19.2268686445308	22.2746328375043	8.95164953726731	10.6362925619409	16.204613559387
GALNT15	0.221200061082431	0.516704278137884	4.26556633096143	3.63592879448834	4.80420641397475	0.53961853078392	1.71026965704159	1.6813252674805	9.78555650109558	7.86776225342728	11.2002390426924	3.33413864549739	5.80257322579078	4.7293302437947
GALNT16	0.690644458579342	1.26063390392912	5.21080469007383	8.17517835186204	0.539681321589687	1.07105703565315	1.28272378812834	1.60929445066323	3.18095680986799	3.74046320440672	1.14166305681506	2.76835846600997	7.39059199204157	6.0550454988828
GALNT17	2.80811689501231	19.8273210391148	52.1265707914225	41.755560147387	52.6386461872965	48.2604237292292	38.3212981702702	41.996490926105	24.5723786080667	36.5463289915684	31.7695208397437	23.0031799299003	19.7636838811568	44.3463981090914
GALNT18	12.8711048937124	7.78872721383783	26.9870891649549	22.7983428339916	21.3059734810774	18.5227169150233	20.6424585683229	22.522755579832	22.8077016463368	18.5402990230684	22.9991184033912	17.8603826195901	18.5754910237737	21.0163304669436
GALNT2	27.0828560426107	30.4803043343206	33.8680538967174	29.4385078207721	34.1933864186446	31.8754547358225	37.1913103384405	37.5758518103437	43.4689803135978	35.5959922380073	34.3961178953915	25.8100358223359	29.3179143654034	33.1008458856985
GALNT4	46.753340263269	36.5465629374656	22.1732437284343	32.598227894379	31.0816636513157	33.690623744331	33.9600623213301	27.4983600607029	16.9791884990709	13.8461465721834	15.5202480484086	24.8530459995408	19.9601510207276	21.5964706402856
GALNT5	1.92961537918771	5.05324253077169	10.675782649471	5.45515609578384	3.11922323126358	8.95572078848524	5.03406523238048	8.42622749790613	16.5630473776608	13.7737653240897	13.7997975146918	15.0601908164955	12.8716627451387	23.3377986362669
GALNT6	16.1581149140664	14.0159601885732	38.8490369295277	18.5074754828289	16.8266073913517	15.2109865723821	8.7398575038993	12.7746013707722	19.2172951039273	22.9415826634548	25.2523033532913	18.2210294928169	17.3558172735334	27.3478072139296
GALNT7	30.3539955404952	30.9889809879427	43.3543815325609	32.4044689859744	29.8383433733866	24.8012357457751	30.4544462052477	24.4343922767358	26.8920798285019	32.6221213668109	24.7295061622525	29.6151025533689	29.5189611080337	25.8167726146266
GALNT8	0.623519132222087	0.480251162288318	1.00513717621718	1.12708751479662	1.46689608656284	0.850187343408724	1.9736889765774	1.19824190904821	1.32011911429311	1.82156599359288	3.02967108434309	1.61456482348214	2.28806572619047	1.92797877081113
GALNT9	1.48527437211402	1.5448893193007	0.676312326705386	0.801173856500633	1.66756795023418	0.949482781112749	0.485841274461437	1.40428657168099	2.24782621713313	1.07762570268149	0.583313460691593	1.21774944827409	2.3213228476885	2.13210456239904
